Set_ID,Crow_Distance,Fish_Distance
2016_9_12_4,31654.167267123576,32847.80591069528
2016_9_22_1,14448.67926518269,15620.865870539665
2016_9_22_2,16927.174804016206,18395.012255683927
2016_9_22_3,17260.24952071952,18721.930230186998
2016_9_22_4,18640.68992125293,20009.887885794556
2016_9_27_1,30652.71786082317,31913.631028585056
2016_9_27_2,28174.071159214174,29438.803860520587
2016_9_27_3,30897.003158960655,32248.13620362891
2016_9_27_4,31653.96446096093,33014.014706672555
2016_9_29_1,11528.256024247992,12379.336545757544
2016_9_29_2,14360.608911857693,15341.807238797564
2016_9_29_3,14813.735472087405,15558.537694341998
2016_9_29_4,13718.378987679707,14568.606827115907
2017_10_18_1,19168.306428688422,20605.494901627382
2017_10_18_2,16717.93926548193,18084.039279815224
2017_10_18_3,14701.306017282383,16011.6703983076
2017_10_18_4,16771.82398584724,18010.77914205105
2017_10_20_1,12085.39725873605,12866.980070732787
2017_10_20_2,11877.771632721604,12650.249615188037
2017_10_20_3,12347.877918076556,13087.371480596323
2017_10_20_4,12911.170266289208,13802.728324072541
2017_10_25_1,28059.38005288254,29169.97837417913
2017_10_25_2,29084.63542196573,30337.94590029953
2017_10_25_3,30909.840387510973,32193.95358974285
2017_10_25_4,30982.36220848384,32298.657863196386
2017_5_23_1,15620.231824378745,16977.967961606555
2017_5_23_2,14994.77355272699,16261.558991275364
2017_5_23_3,16157.484104311028,17402.029297947243
2017_5_23_4,16511.416793820103,17831.348516483347
2017_5_5_1,27661.26574918716,28893.31676734075
2017_5_5_2,27869.933606583796,28893.31676734075
2017_5_5_3,27820.95800307086,28953.24791863433
2017_5_5_4,27513.035626234498,28844.88269086208
2017_6_22_1,16448.94471107576,17795.63599607965
2017_6_22_2,17653.243434398923,19154.051619087044
2017_6_22_3,15961.511941140965,17349.22959901841
2017_6_22_4,15788.807764552503,17120.197428347175
2017_6_6_1,12394.206928888305,13257.241230892176
2017_6_6_2,12689.47793071662,13531.815254642048
2017_6_6_3,10934.898775270382,11888.182315270791
2017_6_6_4,11081.980032341558,11826.527543939465
2017_6_8_1,10940.85081015996,11826.527543939465
2017_6_8_2,10570.285844128815,11277.379496440572
2017_6_8_3,12329.35564364179,13141.554094482424
2017_6_8_4,11793.350838490765,12758.614842960349
2017_7_11_1,15002.231445040534,16434.41820270823
2017_7_11_2,18033.781185268832,19474.398179454867
2017_7_11_3,15413.259953622708,16620.420242411183
2017_7_11_4,17459.203906023562,18721.930230186998
2017_7_6_1,29903.57646468889,31252.456798995205
2017_7_6_2,30321.761642863457,31644.80554224349
2017_7_6_3,30321.761642863457,31644.80554224349
2017_7_6_4,30578.243559700117,31583.30101972015
2017_7_6_5,30790.525570324593,31969.901225560454
2017_8_11_1,12558.7688556654,13257.241230892176
2017_8_11_2,13528.516885127352,14572.267781435135
2017_8_11_3,11280.1360080275,12043.257999484424
2017_8_11_4,11495.059643289229,12209.466795461498
2017_8_21_1,30648.027499900123,31805.265800812656
2017_8_21_2,30662.832771191297,32027.744793765483
2017_8_21_3,28697.705323788618,29885.335217655214
2017_8_21_4,29463.980724502995,30542.84849292693
2017_9_13_1,11372.282572848704,12429.858205325076
2017_9_13_2,12262.420535851941,13141.554094482424
2017_9_13_3,13218.756256768404,14019.458779617056
2017_9_13_4,14530.24556529206,15283.963670592319
2017_9_20_1,29710.402861889805,30920.03920704083
2017_9_20_2,28637.695119651617,29834.813558087975
2018_10_2_1,29747.221989558588,30923.700161359422
2018_10_2_2,27981.255548616973,29173.639328497862
2018_10_2_3,28409.264020453586,29502.395966133645
2018_10_2_4,29104.318108393807,30159.909241404894
2018_10_30_1,17005.757051519784,18369.640393186924
2018_10_30_2,17710.169255558078,19119.30617209068
2018_10_4_1,13950.262295451697,14630.1113496403
2018_10_4_2,12746.597554524831,13694.363096300503
2018_10_4_3,11305.144607837427,12101.101567689144
2018_10_4_4,12606.487251803403,13419.789072550866
2018_11_6_1,12422.248201592332,13365.60645866453
2018_5_15_1,18881.95208848913,20227.090760134783
2018_5_15_2,17321.363447715445,18724.73240055111
2018_5_15_3,16727.562781140005,18049.29383281886
2018_5_15_4,18674.026592246926,19939.429918394497
2018_5_8_1,29398.225411213294,30712.718243222607
2018_5_8_2,28206.031108547148,29339.848124475142
2018_5_8_3,27771.977122870205,29007.430532520582
2018_5_8_4,29324.91110655822,30434.483265154573
2018_7_17_1,18816.67303050932,20112.28912982664
2018_7_17_2,18297.786844053826,19714.91318792304
2018_7_17_3,16043.804907583533,17472.48726534736
2018_7_17_4,16021.734488192576,17370.08602131494
2018_7_3_1,28120.04085117699,29264.57840475187
2018_7_3_2,28081.937700360537,29384.62124663444
2018_8_21_1,11684.420334273666,12596.067001301977
2018_8_21_2,12204.677660752328,13307.762890459708
2018_8_23_1,14996.814067590354,15890.955286296923
2018_8_23_2,12945.570315863743,13802.728324072541
2018_8_23_3,13198.729264120911,14019.458779617056
2018_8_23_4,14562.153767615499,15392.328898364438
2018_8_30_1,28965.12851520933,30102.0656732001
2018_8_30_2,28428.92452686978,29556.57858001994
2018_8_30_3,27989.049076257827,29339.848124475142
2018_8_30_4,30904.59491141578,32130.36148413003
2018_9_18_1,12214.435982265242,12982.667207143155
2018_9_18_2,11446.37758389299,12352.320363218347
2018_9_18_3,11577.609237766055,12758.614842960349
2018_9_18_4,13799.719999384832,14518.085167548801
2018_9_25_1,31320.4734657765,32576.892841264376
2018_9_25_2,30867.474426880155,32027.744793765483
2018_9_25_3,30769.277219780462,32081.927407651587
2018_9_25_4,31643.79349641219,33014.014706672555
2018_9_27_1,17828.78235571371,19119.30617209068
2018_9_4_1,16889.958246314665,18331.125702418874
2018_9_4_2,18497.654658070387,19753.427878690938
2018_9_4_3,15787.853835009448,17084.484907943704
2018_9_4_4,15924.290917530918,17548.203114942607
